GEOID20,NAME,STATE,DIST,STATEFP,SLDU,C_TOT23,CTOTMOE,C_NHS23,CNHSMOE,C_AMI23,CAMIMOE,C_ASI23,CASIMOE,C_BLA23,CBLAMOE,C_NHP23,CNHPMOE,C_WHT23,CWHTMOE,C_AIW23,CAIWMOE,C_ASW23,CASWMOE,C_BLW23,CBLWMOE,C_AIB23,CAIBMOE,C_2OM23,C2OMMOE,C_HSP23,CHSPMOE,C_AIA23,CAIAMOE,C_ASN23,CASNMOE,C_BLK23,CBLKMOE,CVAP_TOT23,CVAPTOTMOE,CVAP_NHS23,CVAPNHSMOE,CVAP_AMI23,CVAPAMIMOE,CVAP_ASI23,CVAPASIMOE,CVAP_BLA23,CVAPBLAMOE,CVAP_NHP23,CVAPNHPMOE,CVAP_WHT23,CVAPWHTMOE,CVAP_AIW23,CVAPAIWMOE,CVAP_ASW23,CVAPASWMOE,CVAP_BLW23,CVAPBLWMOE,CVAP_AIB23,CVAPAIBMOE,CVAP_2OM23,CVAP2OMMOE,CVAP_HSP23,CVAPHSPMOE,CVAP_AIA23,CVAPAIAMOE,CVAP_ASN23,CVAPASNMOE,CVAP_BLK23,CVAPBLKMOE,ALL_TOT23,ALLTOTMOE,ALL_NHS23,ALLNHSMOE,ALL_AMI23,ALLAMIMOE,ALL_ASI23,ALLASIMOE,ALL_BLA23,ALLBLAMOE,ALL_NHP23,ALLNHPMOE,ALL_WHT23,ALLWHTMOE,ALL_AIW23,ALLAIWMOE,ALL_ASW23,ALLASWMOE,ALL_BLW23,ALLBLWMOE,ALL_AIB23,ALLAIBMOE,ALL_2OM23,ALL2OMMOE,ALL_HSP23,ALLHSPMOE,ALL_AIA23,ALLAIAMOE,ALL_ASN23,ALLASNMOE,ALL_BLK23,ALLBLKMOE,VAP_TOT23,VAPTOTMOE,VAP_NHS23,VAPNHSMOE,VAP_AMI23,VAPAMIMOE,VAP_ASI23,VAPASIMOE,VAP_BLA23,VAPBLAMOE,VAP_NHP23,VAPNHPMOE,VAP_WHT23,VAPWHTMOE,VAP_AIW23,VAPAIWMOE,VAP_ASW23,VAPASWMOE,VAP_BLW23,VAPBLWMOE,VAP_AIB23,VAPAIBMOE,VAP_2OM23,VAP2OMMOE,VAP_HSP23,VAPHSPMOE,VAP_AIA23,VAPAIAMOE,VAP_ASN23,VAPASNMOE,VAP_BLK23,VAPBLKMOE
47001,"State Senate District 1 (2022), Tennessee",Tennessee,State Senate District 1 (2022),47,1,201165,726,191320,569,175,71,1275,217,7565,502,10,16,177140,526,1880,77,410,167,2650,467,20,29,205,105,9845,537,2075,108.68,1685,273.82,10235,686.25,156850,662,151820,476,155,61,935,199,5750,337,10,16,141850,441,1530,72,150,77,1250,333,20,29,170,98,5030,505,1705,98.72,1085,213.38,7020,474.66,206215,476,192990,463,175,71,1995,148,7820,490,10,16,177785,459,1885,75,450,179,2650,466,20,29,210,104,13225,139,2080,107.27,2445,232.26,10490,676.83,161460,403,153280,386,155,61,1530,112,6005,309,10,16,142405,374,1535,70,190,100,1250,333,20,29,175,98,8180,100,1710,97.27,1720,150.15,7275,455.2
47002,"State Senate District 2 (2022), Tennessee",Tennessee,State Senate District 2 (2022),47,2,203565,649,197135,539,200,93,1145,185,4615,502,40,49,186565,493,1815,88,700,187,1735,440,95,102,220,109,6425,390,2110,163.7,1845,263.05,6445,675.28,162435,572,158910,452,165,71,950,155,3730,354,40,49,151280,414,1470,79,365,149,690,314,65,69,155,90,3525,358,1700,126.66,1315,215.0,4485,478.2,206540,477,197845,473,200,93,1345,187,4685,493,40,49,187010,457,1815,88,700,187,1735,440,95,102,220,109,8695,104,2110,163.7,2045,264.46,6515,668.62,165150,388,159570,378,165,71,1150,151,3800,351,40,49,151670,373,1470,79,365,149,690,314,65,69,155,90,5580,74,1700,126.66,1515,212.14,4555,475.98
47003,"State Senate District 3 (2022), Tennessee",Tennessee,State Senate District 3 (2022),47,3,205520,663,199115,446,210,103,1630,279,6415,552,55,63,185435,416,1860,274,855,272,2110,425,30,38,525,236,6405,470,2100,295.18,2485,389.65,8555,697.69,167500,522,163835,338,110,48,1255,240,5220,388,55,63,153630,306,1580,198,540,149,1055,240,30,34,360,185,3665,417,1720,206.55,1795,282.49,6305,457.49,209230,0,201005,0,210,103,2235,274,6920,474,55,63,186175,281,1860,274,860,273,2140,430,30,38,525,236,8225,0,2100,295.18,3095,386.79,9090,641.11,170765,93,165465,92,110,48,1845,188,5635,326,55,63,154245,212,1580,198,545,150,1060,239,30,34,360,185,5300,0,1720,206.55,2390,240.51,6725,405.65
47004,"State Senate District 4 (2022), Tennessee",Tennessee,State Senate District 4 (2022),47,4,215490,339,211250,240,230,81,1370,174,3935,404,0,32,201515,193,1495,80,370,140,2060,378,55,66,225,103,4240,206,1780,131.59,1740,223.33,6050,557.19,173905,302,171370,233,215,76,1040,138,3100,297,0,32,164360,190,1235,76,245,91,905,257,55,66,215,102,2540,167,1505,126.13,1285,165.3,4060,398.26,217140,0,212175,0,230,81,1600,156,3990,396,0,32,202065,32,1495,80,390,144,2110,387,55,66,240,104,4965,0,1780,131.59,1990,212.3,6155,557.62,175465,21,172255,20,215,76,1270,122,3150,285,0,32,164910,32,1235,76,265,102,915,260,55,66,230,102,3210,0,1505,126.13,1535,159.02,4120,391.38
47005,"State Senate District 5 (2022), Tennessee",Tennessee,State Senate District 5 (2022),47,5,199160,2430,189235,2303,135,58,1965,337,9970,1143,80,129,171650,2117,1400,136,805,350,2480,483,320,280,435,188,9925,901,1855,316.64,2770,485.87,12770,1272.06,155185,1673,150160,1626,130,57,1405,289,6935,671,25,31,138345,1527,1175,133,525,210,1070,339,320,280,230,112,5030,503,1625,315.18,1930,357.24,8325,802.22,206710,2763,192185,2605,145,62,2925,398,10355,1243,80,129,173160,2353,1400,136,805,350,2545,494,320,280,445,187,14525,1177,1865,317.4,3730,530.0,13220,1366.56,161800,1859,152680,1764,145,57,2295,322,7325,740,25,31,139490,1619,1175,133,525,210,1140,349,320,280,245,105,9120,754,1640,315.18,2820,384.43,8785,864.75
47006,"State Senate District 6 (2022), Tennessee",Tennessee,State Senate District 6 (2022),47,6,201440,3658,194620,3720,230,102,3530,579,18910,1295,50,57,166605,3495,1170,155,690,208,2785,605,130,66,525,197,6820,960,1530,196.94,4220,615.23,21825,1430.88,159515,2917,155595,2913,200,101,2900,508,14140,898,40,55,135285,2718,920,130,385,149,1180,303,130,66,405,181,3920,652,1250,177.36,3285,529.4,15450,950.04,207060,3569,197310,3713,250,110,4670,633,19580,1347,50,57,167450,3485,1170,155,705,209,2785,605,130,66,525,197,9750,1132,1550,201.2,5375,666.61,22495,1478.1,164290,2802,157945,2896,215,106,3985,514,14595,924,40,55,136075,2702,920,130,400,149,1180,303,130,66,405,181,6345,718,1265,180.26,4385,535.16,15905,974.65
47007,"State Senate District 7 (2022), Tennessee",Tennessee,State Senate District 7 (2022),47,7,200515,3340,191325,3327,160,66,3375,454,12740,1270,265,115,168070,3186,1205,178,1870,400,2980,658,110,84,555,282,9190,840,1475,207.6,5245,605.08,15830,1432.8,159430,2453,154700,2435,115,48,2520,372,10260,884,220,75,137645,2384,1025,153,990,251,1495,408,110,84,315,185,4730,542,1250,181.02,3510,448.76,11865,977.23,208800,3537,194790,3419,160,66,5020,662,13115,1276,285,126,169365,3279,1205,178,1920,424,3030,659,110,84,580,282,14010,1370,1475,207.6,6940,786.14,16255,1438.58,166195,2590,157720,2484,115,48,3920,501,10510,879,240,84,138880,2497,1025,153,1035,272,1550,409,110,84,335,189,8475,900,1250,181.02,4955,570.07,12170,973.13
47008,"State Senate District 8 (2022), Tennessee",Tennessee,State Senate District 8 (2022),47,8,207820,1717,200500,1639,200,96,975,161,2005,297,140,127,192810,1555,1925,124,620,200,1335,312,30,36,460,217,7320,705,2155,160.9,1595,256.75,3370,432.26,165385,1416,161860,1368,200,94,650,163,1675,282,140,127,156260,1281,1540,112,455,194,630,225,30,36,285,147,3525,411,1770,150.59,1105,253.39,2335,362.55,213500,1547,201915,1558,200,96,1590,252,2025,293,140,127,193525,1531,1925,124,685,219,1335,312,30,36,465,217,11585,596,2155,160.9,2275,333.86,3390,429.52,170250,1303,163245,1295,200,94,1260,204,1690,279,140,127,156955,1269,1540,112,515,203,630,225,30,36,285,147,7005,348,1770,150.59,1775,287.79,2350,360.22
47009,"State Senate District 9 (2022), Tennessee",Tennessee,State Senate District 9 (2022),47,9,208900,1768,196950,1617,340,112,865,187,3985,497,195,169,187085,1543,1465,129,300,146,2360,470,15,20,340,208,11950,875,1820,172.0,1165,237.24,6360,684.33,164720,1464,158900,1347,215,79,595,131,3335,340,50,52,152185,1287,1180,89,115,94,1055,319,15,20,150,100,5820,618,1410,120.67,710,161.24,4405,466.65,214345,1545,198280,1564,340,113,1330,247,4020,502,560,429,187480,1531,1465,129,370,212,2360,470,15,20,340,208,16070,598,1820,172.66,1700,325.5,6395,687.97,169675,1276,160195,1303,220,77,1025,157,3365,342,415,345,152575,1270,1180,89,190,124,1055,319,15,20,150,100,9480,318,1415,119.37,1215,200.06,4435,468.11
47010,"State Senate District 10 (2022), Tennessee",Tennessee,State Senate District 10 (2022),47,10,204545,2599,191835,2515,180,89,3785,508,32175,1784,95,70,149485,2194,1480,175,875,235,2630,629,500,256,625,236,12715,1021,2160,322.62,4660,559.72,35305,1908.88,162315,1861,156585,1813,160,82,2975,405,24230,1302,95,70,125270,1808,1310,152,495,169,1285,320,420,215,340,146,5730,585,1890,275.78,3470,438.85,25935,1357.88,214360,2708,194530,2654,180,89,4925,628,32960,1906,100,69,150115,2246,1480,175,915,238,2700,647,500,256,660,245,19835,1239,2160,322.62,5840,671.59,36160,2029.03,170770,2071,159015,1981,160,82,4055,460,24840,1419,100,69,125870,1865,1310,152,535,176,1355,350,420,215,375,153,11755,748,1890,275.78,4590,492.52,26615,1477.26
